id,name,company,sector,njsector,gender,base,bonus,basebonus,salaryother,moneyall,tier,,option
19,Calvin M. Dooley,American Chemistry Council,Trade,Manufacturing,male,1393737,838089,2231826,126954,2358780,top,,<option value='bubble_19'>Calvin M. Dooley</option>
20,Jerry M. Howard,National Association of Home Builders,Trade,Construction,male,901683,1363950,2265633,23000,2288633,top,,<option value='bubble_20'>Jerry M. Howard</option>
21,Richard H. Baker,Managed Funds Association,Trade,"Banking, finance",male,1496192,750000,2246192,2724,2248916,top,,<option value='bubble_21'>Richard H. Baker</option>
22,Edward R. Hamberger,Association of American Railroads,Trade,Transportation Defense,male,811256,1396880,2208136,12969,2221105,top,,<option value='bubble_22'>Edward R. Hamberger</option>
23,John Castellani,Pharmaceutical Research and Manufacturers of America,Trade,Health,male,1466283,644833,2111116,61879,2172995,top,,<option value='bubble_23'>John Castellani</option>
24,John Engler,Business Roundtable,Trade,General Business,male,1670000,425000,2095000,16546,2111546,top,,<option value='bubble_24'>John Engler</option>
25,John M. Gray,Healthcare Distribution Management Association,Trade,Health,male,731717,182801,914518,1147612,2062130,top,,<option value='bubble_25'>John M. Gray</option>
26,Pamela Bailey,Grocery Manufacturers Association,Trade,Food and Beverage,female,1146011,861982,2007993,51420,2059413,top,,<option value='bubble_26'>Pamela Bailey</option>
27,Jay Timmons,National Association of Manufacturers,Trade,Manufacturing,male,964440,1017000,1981440,17000,1998440,top,,<option value='bubble_27'>Jay Timmons</option>
28,Paul Schott Stevens,Investment Company Institute,Trade,"Banking, finance",male,905902,800000,1705902,205129,1911031,top,,<option value='bubble_28'>Paul Schott Stevens</option>
29,Glenn L. English,National Rural Electric Cooperative Association,Trade,Energy,male,1267970,100,1268070,620001,1888071,top,,<option value='bubble_29'>Glenn L. English</option>
30,Gary Shapiro,Consumer Electronics Association,Trade,"Communications, IT",male,1050214,333333,1383547,493133,1876680,top,,<option value='bubble_30'>Gary Shapiro</option>
31,David A. Wilson,Graduate Management Admission Council,Trade,"Education, Arts and Sciences",male,645000,448000,1093000,781176,1874176,top,,<option value='bubble_31'>David A. Wilson</option>
32,Stephen J. Ubl,AdvaMed (Advanced Medical Technology Association),Trade,Health,male,1047240,721844,1769084,41705,1810789,top,,<option value='bubble_32'>Stephen J. Ubl</option>
33,Robert G. Pickel,International Swaps and Derivatives Association,Trade,"Banking, finance",male,500000,1295000,1795000,0,1795000,top,,<option value='bubble_33'>Robert G. Pickel</option>
34,Peggy Conlon,Ad Council,Nonprofit,Public Interest Groups,female,575941,127650,703591,1085289,1788880,top,,<option value='bubble_34'>Peggy Conlon</option>
35,Frank Keating,American Bankers Association,Trade,"Banking, finance",male,1295161,425000,1720161,43354,1763515,top,,<option value='bubble_35'>Frank Keating</option>
36,Gordon Smith,National Association of Broadcasters,Trade,"Advertising, media, entertainment",male,1496408,200000,1696408,33168,1729576,top,,<option value='bubble_36'>Gordon Smith</option>
37,Margaret E. O'Kane,National Committee for Quality Assurance,Nonprofit,Public Interest Groups,female,450664,202024,652688,1000823,1653511,top,,<option value='bubble_37'>Margaret E. O'Kane</option>
38,Camden R. Fine,Independent Community Bankers of America,Trade,"Banking, finance",male,1225000,200000,1425000,192359,1617359,top,,<option value='bubble_38'>Camden R. Fine</option>
39,Lisa Rickard,"Institute for Legal Reform, U.S. Chamber of Commerce",Trade,Legal,female,491422,900000,1391422,211206,1602628,top,,<option value='bubble_39'>Lisa Rickard</option>
40,Walter McCormick,USTelecom,Trade,"Communications, IT",male,989994,499047,1489041,112803,1601844,top,,<option value='bubble_40'>Walter McCormick</option>
41,Barry C. Melancon,American Institute for CPAs,Prof,"Banking, finance",male,1101202,472500,1573702,27092,1600794,top,,<option value='bubble_41'>Barry C. Melancon</option>
42,David A. Sampson,Property Casualty Insurers Association of America,Trade,Insurance,male,900000,606250,1506250,80078,1586328,top,,<option value='bubble_42'>David A. Sampson</option>
43,James C. Greenwood,Biotechnology Industry Organization,Trade,Health,male,1000000,575000,1575000,0,1575000,top,,<option value='bubble_43'>James C. Greenwood</option>
44,Dawn Sweeney,National Restaurant Association,Trade,"Sales, Service",female,951154,557280,1508434,63215,1571649,top,,<option value='bubble_44'>Dawn Sweeney</option>
45,Cary Sherman,Recording Industry Association of America,Trade,"Advertising, media, entertainment",male,1020100,489000,1509100,61395,1570495,top,,<option value='bubble_45'>Cary Sherman</option>
46,Steven A. Wechsler,National Association of Real Estate Investment Trusts,Trade,"Banking, finance",male,820000,712769,1532769,15663,1548432,top,,<option value='bubble_46'>Steven A. Wechsler</option>
47,John Fahey,National Geographic Society,Nonprofit,Public Interest Groups,male,892465,636570,1529035,18484,1547519,top,,<option value='bubble_47'>John Fahey</option>
48,Edward T. Reilly,American Management Association,Prof,General Business,male,760836,756000,1516836,28233,1545069,top,,<option value='bubble_48'>Edward T. Reilly</option>
49,Peter H. Cressy,Distilled Spirits Council of the United States,Trade,Food and Beverage,male,1293936,199509,1493445,17296,1510741,top,,<option value='bubble_49'>Peter H. Cressy</option>
50,Roger Dow,U.S. Travel Association,Trade,"Sales, Service",male,1222250,266340,1488590,0,1488590,top,,<option value='bubble_50'>Roger Dow</option>
51,Neil Portnow,National Academy of Recording Arts and Sciences,Prof,"Advertising, media, entertainment",male,881924,0,881924,605908,1487832,top,,<option value='bubble_51'>Neil Portnow</option>
52,Charles Barclay,American Association of Airport Executives,Prof,Transportation Defense,male,1080767,0,1080767,400515,1481282,top,,<option value='bubble_52'>Charles Barclay</option>
53,Dale A. Stinton,National Association of Realtors,Prof,Real Estate,male,1471157,0,1471157,5544,1476701,top,,<option value='bubble_53'>Dale A. Stinton</option>
54,Steve Largent,CTIA-The Wireless Association,Trade,"Communications, IT",male,1086653,360000,1446653,0,1446653,top,,<option value='bubble_54'>Steve Largent</option>
55,Gaston Caperton,The College Board,Nonprofit,Public Interest Groups,male,550131,659013,1209144,223436,1432580,top,,<option value='bubble_55'>Gaston Caperton</option>
56,Mark Emmert,National Collegiate Athletic Association,Trade,Sports,male,1201159,0,1201159,214947,1416106,top,,<option value='bubble_56'>Mark Emmert</option>
57,Dave McCurdy,American Gas Association,Trade,Energy,male,902846,425000,1327846,51938,1379784,top,,<option value='bubble_57'>Dave McCurdy</option>
58,Robert A. Rusbuldt,Independent Insurance Agents and Brokers of America,Trade,Insurance,male,396500,772515,1169015,181905,1350920,top,,<option value='bubble_58'>Robert A. Rusbuldt</option>
59,Todd Thibodeaux,CompTIA,Trade,"Communications, IT",male,640000,708600,1348600,810,1349410,top,,<option value='bubble_59'>Todd Thibodeaux</option>
60,Christopher Wiernicki,American Bureau of Shipping,Trade,Transportation Defense,male,624999,718457,1343456,-6017,1337439,top,,<option value='bubble_60'>Christopher Wiernicki</option>
61,"Charles N. Kahn, III",Federation of American Hospitals,Trade,Health,male,954995,334248,1289243,46288,1335531,top,,"<option value='bubble_61'>Charles N. Kahn, III</option>"
62,Marion Blakey,Aerospace Industries Association,Trade,Transportation Defense,female,722401,566000,1288401,28075,1316476,top,,<option value='bubble_62'>Marion Blakey</option>
63,Michael P. Kercheval,International Council of Shopping Centers,Trade,"Sales, Service",male,633534,635000,1268534,39500,1308034,top,,<option value='bubble_63'>Michael P. Kercheval</option>
64,John Rogers,CFA Institute,Prof,"Banking, finance",male,593450,693707,1287157,4142,1291299,top,,<option value='bubble_64'>John Rogers</option>
65,Janet O. Estep,NACHA-The Electronic Payments Association,Trade,"Banking, finance",female,441000,816600,1257600,2064,1259664,top,,<option value='bubble_65'>Janet O. Estep</option>
66,Bobby Koch,Wine Institute,Trade,Food and Beverage,male,1245897,232,1246129,6042,1252171,top,,<option value='bubble_66'>Bobby Koch</option>
67,Charles D. Yuska ,Packaging Machinery Manufacturers Institute,Trade,Manufacturing,male,689135,103221,792356,428695,1221051,top,,<option value='bubble_67'>Charles D. Yuska </option>
68,Brian Gallagher,United Way Worldwide,Nonprofit,Public Interest Groups,male,520043,180657,700700,519605,1220305,top,,<option value='bubble_68'>Brian Gallagher</option>
69,Dirk Kempthorne,American Council of Life Insurers,Trade,Insurance,male,915538,275000,1190538,28943,1219481,top,,<option value='bubble_69'>Dirk Kempthorne</option>
70,Karen Ignagni,America's Health Insurance Plans (AHIP),Trade,Insurance,female,1175633,0,1175633,38884,1214517,top,,<option value='bubble_70'>Karen Ignagni</option>
71,Carol Keehan,Catholic Health Association of the United States,Trade,Health,female,773970,267190,1041160,171948,1213108,top,,<option value='bubble_71'>Carol Keehan</option>
72,Edwin J. Feulner,Heritage Foundation,ThinkTank,Think Tank,male,531561,613250,1144811,17885,1162696,top,,<option value='bubble_72'>Edwin J. Feulner</option>
73,Mark V. Parkinson,American Health Care Association,Trade,Health,male,1008823,153000,1161823,0,1161823,top,,<option value='bubble_73'>Mark V. Parkinson</option>
74,Michael Howard,Electric Power Research Institute,Trade,Energy,male,499616,577269,1076885,83409,1160294,top,,<option value='bubble_74'>Michael Howard</option>
75,William Cheney,Credit Union National Association (CUNA),Trade,"Banking, finance",male,732021,183002,915023,234857,1149880,top,,<option value='bubble_75'>William Cheney</option>
76,Leigh Ann Pusey,American Insurance Association,Trade,Insurance,female,803694,320000,1123694,0,1123694,top,,<option value='bubble_76'>Leigh Ann Pusey</option>
77,Leslie Sarasin,Food Marketing Institute,Trade,Food and Beverage,female,726000,363000,1089000,25274,1114274,top,,<option value='bubble_77'>Leslie Sarasin</option>
78,"Lawrence P. Farrell, Jr.",National Defense Industrial Association,Trade,Transportation Defense,male,353861,554000,907861,205792,1113653,top,,"<option value='bubble_78'>Lawrence P. Farrell, Jr.</option>"
79,Evan R. Gaddis,National Electrical Manufacturers Association,Trade,Manufacturing,male,474775,553670,1028445,82306,1110751,top,,<option value='bubble_79'>Evan R. Gaddis</option>
80,Lee Moak,"Air Line Pilots Association, International",Union,Labor Unions,male,347099,0,347099,742468,1089567,top,,<option value='bubble_80'>Lee Moak</option>
81,Ken A. Crerar,Council of Insurance Agents and Brokers,Trade,Insurance,male,691768,350000,1041768,47148,1088916,top,,<option value='bubble_81'>Ken A. Crerar</option>
82,Douglas M. Bibby,National Multifamily Housing Council,Trade,Real Estate,male,863081,206000,1069081,0,1069081,top,,<option value='bubble_82'>Douglas M. Bibby</option>
83,Mark R. Chassin,Joint Commission,Prof,Health,male,821377,57000,878377,178774,1057151,top,,<option value='bubble_83'>Mark R. Chassin</option>
84,Thomas J. Van Coverden,National Association of Community Health Centers,Trade,Health,male,626108,310592,936700,111462,1048162,top,,<option value='bubble_84'>Thomas J. Van Coverden</option>
85,Michael D. Gallagher,Entertainment Software Association,Trade,"Communications, IT",male,739500,291200,1030700,16665,1047365,top,,<option value='bubble_85'>Michael D. Gallagher</option>
86,Fred Becker,National Association of Federal Credit Unions,Trade,"Banking, finance",male,583358,126500,709858,331262,1041120,top,,<option value='bubble_86'>Fred Becker</option>
87,Donna Harman,American Forest and Paper Association,Trade,Manufacturing,female,709558,300865,1010423,15375,1025798,top,,<option value='bubble_87'>Donna Harman</option>
88,Steven E. Sanderson,Wildlife Conservation Society,Nonprofit,Public Interest Groups,male,513417,215000,728417,287284,1015701,top,,<option value='bubble_88'>Steven E. Sanderson</option>
89,Mitch Bainwol,Alliance of Automobile Manufacturers,Trade,Manufacturing,male,871700,116172,987872,26181,1014053,top,,<option value='bubble_89'>Mitch Bainwol</option>
90,James Madara,American Medical Association,Prof,Health,male,816980,180000,996980,12024,1009004,top,,<option value='bubble_90'>James Madara</option>
91,Alan I. Leshner,American Association for the Advancement of Science,Prof,"Education, Arts and Sciences",male,535020,455000,990020,17000,1007020,top,,<option value='bubble_91'>Alan I. Leshner</option>
92,Robert J. Beall,Cystic Fibrosis Foundation,Nonprofit,Public Interest Groups,male,547489,107531,655020,344408,999428,top,,<option value='bubble_92'>Robert J. Beall</option>
93,Darrell G. Kirch ,Association of American Medical Colleges,Trade,Health,male,784610,143008,927618,69273,996891,top,,<option value='bubble_93'>Darrell G. Kirch </option>
94,Susan K. Neely,American Beverage Association,Trade,Food and Beverage,female,996750,0,996750,0,996750,top,,<option value='bubble_94'>Susan K. Neely</option>
95,Mark Merritt,Pharmaceutical Care Management Association,Trade,Health,male,744349,240000,984349,0,984349,top,,<option value='bubble_95'>Mark Merritt</option>
96,E. James Prendergast,Institute of Electrical and Electronics Engineers (IEEE),Prof,"Communications, IT",male,756223,165000,921223,48729,969952,top,,<option value='bubble_96'>E. James Prendergast</option>
97,Jerry Kozak,National Milk Producers Federation,Trade,"Agriculture, Livestock",male,520097,132150,652247,313012,965259,top,,<option value='bubble_97'>Jerry Kozak</option>
98,Matt Shay,National Retail Federation,Trade,"Sales, Service",male,643383,315000,958383,6182,964565,top,,<option value='bubble_98'>Matt Shay</option>
99,Harold Quinn,National Mining Association,Trade,Energy,male,491703,400000,891703,57466,949169,top,,<option value='bubble_99'>Harold Quinn</option>
100,Richard N. Haass  ,Council on Foreign Relations,ThinkTank,Think Tank,male,375000,235000,610000,332089,942089,top,,<option value='bubble_100'>Richard N. Haass  </option>
101,Randall Rothenberg,Interactive Advertising Bureau,Trade,"Advertising, media, entertainment",male,516438,416000,932438,0,932438,top,,<option value='bubble_101'>Randall Rothenberg</option>
102,Michael W. McCormick ,Global Business Travel Association,Prof,"Sales, Service",male,651940,248430,900370,0,900370,top,,<option value='bubble_102'>Michael W. McCormick </option>
103,Bram Smith,Loan Syndications and Trading Association,Trade,"Banking, finance",male,370059,525000,895059,0,895059,top,,<option value='bubble_103'>Bram Smith</option>
104,Charles Roussel,College of American Pathologists,Prof,Health,male,561370,224000,785370,100182,885552,top,,<option value='bubble_104'>Charles Roussel</option>
105,Regina D. Hopper,America's Natural Gas Alliance,Trade,Energy,female,629162,250000,879162,6151,885313,top,,<option value='bubble_105'>Regina D. Hopper</option>
106,Lynnette Kelly,Municipal Securities Rulemaking Board,Trade,"Banking, finance",female,618883,50000,668883,213732,882615,top,,<option value='bubble_106'>Lynnette Kelly</option>
107,A. Barry Rand,AARP,Nonprofit,Public Interest Groups,male,677000,177452,854452,25273,879725,top,,<option value='bubble_107'>A. Barry Rand</option>
108,Thomas J. Gibson,American Iron and Steel Institute,Trade,Manufacturing,male,615000,224000,839000,38977,877977,top,,<option value='bubble_108'>Thomas J. Gibson</option>
109,Lezlee Westine,Personal Care Products Council,Trade,Manufacturing,female,596396,250000,846396,30956,877352,top,,<option value='bubble_109'>Lezlee Westine</option>
110,Tony Bingham,American Society for Training and Development,Prof,Professional,male,440876,434093,874969,1048,876017,top,,<option value='bubble_110'>Tony Bingham</option>
111,Christine Duffy,Cruise Lines International Association,Trade,Transportation Defense,female,872569,0,872569,0,872569,top,,<option value='bubble_111'>Christine Duffy</option>
112,S. Joe Bhatia,American National Standards Institute,Trade,General Business,male,556234,289110,845344,22516,867860,top,,<option value='bubble_112'>S. Joe Bhatia</option>
113,Madeleine Jacobs,American Chemical Society,Prof,"Education, Arts and Sciences",female,633584,214270,847854,14628,862482,top,,<option value='bubble_113'>Madeleine Jacobs</option>
114,Henry G. Jackson,Society for Human Resource Management,Prof,Professional,male,575015,281913,856928,0,856928,top,,<option value='bubble_114'>Henry G. Jackson</option>
115,Nancy Brown,American Heart Association,Nonprofit,Public Interest Groups,female,641363,172973,814336,27061,841397,top,,<option value='bubble_115'>Nancy Brown</option>
116,Ed Bolen,National Business Aviation Association,Trade,Transportation Defense,male,556980,284250,841230,-6970,834260,top,,<option value='bubble_116'>Ed Bolen</option>
117,Wayne LaPierre,National Rifle Association,Nonprofit,Public Interest Groups,male,672385,129767,802152,31160,833312,top,,<option value='bubble_117'>Wayne LaPierre</option>
118,William Graves,American Trucking Associations,Trade,Transportation Defense,male,819012,0,819012,12774,831786,top,,<option value='bubble_118'>William Graves</option>
119,Thomas Gallagher,Dairy Management,Trade,"Agriculture, Livestock",male,450000,50000,500000,294464,794464,top,,<option value='bubble_119'>Thomas Gallagher</option>
120,Kenneth Daly,National Association of Corporate Directors,Prof,General Business,male,597587,125000,722587,69853,792440,top,,<option value='bubble_120'>Kenneth Daly</option>
121,Norman B. Anderson,American Psychological Association,Prof,Health,male,491835,282931,774766,15515,790281,top,,<option value='bubble_121'>Norman B. Anderson</option>
122,John R. Seffrin,American Cancer Society,Nonprofit,Public Interest Groups,male,641500,60977,702477,85939,788416,top,,<option value='bubble_122'>John R. Seffrin</option>
123,Walter Isaacson,Aspen Institute,ThinkTank,Think Tank,male,781254,0,781254,2195,783449,top,,<option value='bubble_123'>Walter Isaacson</option>
124,David Myers,American Institutes for Research,Nonprofit,Public Interest Groups,male,527532,200000,727532,55324,782856,top,,<option value='bubble_124'>David Myers</option>
125,James A. Kaitz ,Association for Financial Professionals,Prof,"Banking, finance",male,487494,276000,763494,16500,779994,top,,<option value='bubble_125'>James A. Kaitz </option>
126,Allen Lichter,American Society of Clinical Oncology,Prof,Health,male,669040,95000,764040,15000,779040,top,,<option value='bubble_126'>Allen Lichter</option>
127,David W. Parke,American Academy of Ophthalmology,Prof,Health,male,663764,99500,763264,15423,778687,top,,<option value='bubble_127'>David W. Parke</option>
128,John Crosby,American Osteopathic Association,Prof,Health,male,745258,30000,775258,0,775258,top,,<option value='bubble_128'>John Crosby</option>
129,Stephen P. Harbeck,Securities Investor Protection Corporation,Trade,"Banking, finance",male,495387,270472,765859,3810,769669,top,,<option value='bubble_129'>Stephen P. Harbeck</option>
130,Craig Purser,National Beer Wholesalers Association,Trade,Food and Beverage,male,601550,162500,764050,2982,767032,top,,<option value='bubble_130'>Craig Purser</option>
131,H. Stephen Lieber,Healthcare Information and Management Systems Society (HIMSS),Prof,Health,male,611271,141500,752771,11072,763843,top,,<option value='bubble_131'>H. Stephen Lieber</option>
132,Sandra L. Kennedy,Retail Industry Leaders Association,Trade,"Sales, Service",female,513537,250000,763537,276,763813,top,,<option value='bubble_132'>Sandra L. Kennedy</option>
133,Jay J. Vroom,CropLife America,Trade,"Agriculture, Livestock",male,495641,253312,748953,11269,760222,top,,<option value='bubble_133'>Jay J. Vroom</option>
134,Henri Manasse,American Society of Health-System Pharmacists,Prof,Health,male,695040,30000,725040,32321,757361,top,,<option value='bubble_134'>Henri Manasse</option>
135,Lawrence Kimmel,Direct Marketing Association,Trade,"Advertising, media, entertainment",male,498028,255000,753028,1242,754270,top,,<option value='bubble_135'>Lawrence Kimmel</option>
136,"William K. Slate, II",American Arbitration Association,Prof,General Business,male,645197,100000,745197,8382,753579,top,,"<option value='bubble_136'>William K. Slate, II</option>"
137,Gene Carter,ASCD,Prof,"Education, Arts and Sciences",male,413193,160000,573193,177846,751039,top,,<option value='bubble_137'>Gene Carter</option>
138,Ralph Neas,Generic Pharmaceutical Association,Trade,Health,male,500762,250000,750762,0,750762,top,,<option value='bubble_138'>Ralph Neas</option>
139,Rebecca W. Rimel,Pew Charitable Trusts,Nonprofit,Public Interest Groups,female,703168,0,703168,47545,750713,top,,<option value='bubble_139'>Rebecca W. Rimel</option>
140,Dan Danner,National Federation of Independent Business,Trade,General Business,male,523878,180250,704128,46498,750626,top,,<option value='bubble_140'>Dan Danner</option>
141,Thomas C. Dolan,American College of Healthcare Executives,Prof,Health,male,597136,121130,718266,23581,741847,second,,<option value='bubble_141'>Thomas C. Dolan</option>
142,Chuck Chamness,National Association of Mutual Insurance Companies,Trade,Insurance,male,563019,152610,715629,20448,736077,second,,<option value='bubble_142'>Chuck Chamness</option>
143,Bob Liodice,Association of National Advertisers,Trade,"Advertising, media, entertainment",male,485761,250000,735761,0,735761,second,,<option value='bubble_143'>Bob Liodice</option>
144,Kevin R. Keller,Certified Financial Planner Board of Standards,Prof,"Banking, finance",male,450755,104186,554941,178000,732941,second,,<option value='bubble_144'>Kevin R. Keller</option>
145,Jan Bult,Plasma Protein Therapeutics Association,Prof,Health,male,441486,244075,685561,24900,710461,second,,<option value='bubble_145'>Jan Bult</option>
146,Mark Crisson,American Public Power Association,Trade,Energy,male,501967,109610,611577,93835,705412,second,,<option value='bubble_146'>Mark Crisson</option>
147,Harvey L. Neiman ,American College of Radiology,Prof,Health,male,434037,205000,639037,62286,701323,second,,<option value='bubble_147'>Harvey L. Neiman </option>
148,Ralph J. Cicerone,National Academy of Sciences,Nonprofit,Public Interest Groups,male,621228,0,621228,78005,699233,second,,<option value='bubble_148'>Ralph J. Cicerone</option>
149,James Youngblood,Heart Rhythm Society,Prof,Health,male,561594,105037,666631,24650,691281,second,,<option value='bubble_149'>James Youngblood</option>
150,Gordon R. Sullivan,Association of the United States Army,Prof,Government,male,465000,225000,690000,0,690000,second,,<option value='bubble_150'>Gordon R. Sullivan</option>
151,Scott Hunt,Endocrine Society,Prof,Health,male,449622,165000,614622,73917,688539,second,,<option value='bubble_151'>Scott Hunt</option>
152,Craig L. Fuller,Aircraft Owners and Pilots Association,Prof,Transportation Defense,male,522421,113171,635592,52386,687978,second,,<option value='bubble_152'>Craig L. Fuller</option>
153,Richard L. Clarke,Healthcare Financial Management Association,Prof,Health,male,438690,192895,631585,56352,687937,second,,<option value='bubble_153'>Richard L. Clarke</option>
154,Jack L. Rives,American Bar Association,Prof,Legal,male,686969,0,686969,960,687929,second,,<option value='bubble_154'>Jack L. Rives</option>
155,Michael Huppe,SoundExchange,Trade,"Advertising, media, entertainment",male,530430,150000,680430,5328,685758,second,,<option value='bubble_155'>Michael Huppe</option>
156,Michael D. Bellaman,Associated Builders and Contractors,Trade,Construction,male,554749,129492,684241,0,684241,second,,<option value='bubble_156'>Michael D. Bellaman</option>
157,Bob Stallman,American Farm Bureau Federation,Trade,"Agriculture, Livestock",male,683646,0,683646,0,683646,second,,<option value='bubble_157'>Bob Stallman</option>
158,Eugene B. Meyer,Federalist Society for Law and Public Policy Studies,Prof,Legal,male,450000,0,450000,232850,682850,second,,<option value='bubble_158'>Eugene B. Meyer</option>
159,Larry Graham,National Confectioners Association,Trade,Food and Beverage,male,530574,0,530574,150000,680574,second,,<option value='bubble_159'>Larry Graham</option>
160,Kent Schneider,Armed Forces Communications and Electronics Association,Trade,Government,male,465842,200000,665842,12854,678696,second,,<option value='bubble_160'>Kent Schneider</option>
161,Adrian Lund,Insurance Institute for Highway Safety,Nonprofit,Public Interest Groups,male,611045,20000,631045,44663,675708,second,,<option value='bubble_161'>Adrian Lund</option>
162,"Robert W. Holleyman, II",BSA:The Software Alliance,Trade,"Communications, IT",male,523680,100000,623680,49007,672687,second,,"<option value='bubble_162'>Robert W. Holleyman, II</option>"
163,James A. Guest,Consumers Union of United States,Nonprofit,Public Interest Groups,male,539027,104750,643777,26516,670293,second,,<option value='bubble_163'>James A. Guest</option>
164,Roger L. Williams,U.S. Pharmacopeial Convention ,Trade,Health,male,594769,69468,664237,0,664237,second,,<option value='bubble_164'>Roger L. Williams</option>
165,Brian H. Graff,American Society of Pension Professionals and Actuaries,Prof,Insurance,male,588666,75000,663666,180,663846,second,,<option value='bubble_165'>Brian H. Graff</option>
166,Mark Wietecha,Children's Hospital Association,Trade,Health,male,554248,60000,614248,42815,657063,second,,<option value='bubble_166'>Mark Wietecha</option>
167,Nancy Hill,American Association of Advertising Agencies,Trade,"Advertising, media, entertainment",female,495298,150000,645298,3636,648934,second,,<option value='bubble_167'>Nancy Hill</option>
168,Jonathan Spector,Conference Board,ThinkTank,Think Tank,male,574793,0,574793,72556,647349,second,,<option value='bubble_168'>Jonathan Spector</option>
169,Mary K. Logan,Association for the Advancement of Medical Instrumentation,Prof,Health,female,500299,134971,635270,8598,643868,second,,<option value='bubble_169'>Mary K. Logan</option>
170,Paula A. Kerger,Public Broadcasting Service (PBS),Nonprofit,Public Interest Groups,female,475299,160200,635499,4743,640242,second,,<option value='bubble_170'>Paula A. Kerger</option>
171,Arthur C. Brooks,American Enterprise Institute,ThinkTank,Think Tank,male,637500,0,637500,0,637500,second,,<option value='bubble_171'>Arthur C. Brooks</option>
172,Mark Langley,Project Management Institute,Prof,General Business,male,480630,144000,624630,12760,637390,second,,<option value='bubble_172'>Mark Langley</option>
173,Christine K. Cassel,American Board of Internal Medicine,Prof,Health,female,593853,43021,636874,0,636874,second,,<option value='bubble_173'>Christine K. Cassel</option>
174,David B. Hoyt,American College of Surgeons,Prof,Health,male,634000,0,634000,51,634051,second,,<option value='bubble_174'>David B. Hoyt</option>
175,Lynn St. Amour,Internet Society,Trade,"Communications, IT",female,463816,146673,610489,19294,629783,second,,<option value='bubble_175'>Lynn St. Amour</option>
176,Steven Weinberger,American College of Physicians,Prof,Health,male,540151,89040,629191,0,629191,second,,<option value='bubble_176'>Steven Weinberger</option>
177,Scott M. Melville,Consumer Healthcare Products Association,Trade,Health,male,475000,142500,617500,10037,627537,second,,<option value='bubble_177'>Scott M. Melville</option>
178,Bradley Stillman,American College of Gastroenterology,Prof,Health,male,624205,0,624205,0,624205,second,,<option value='bubble_178'>Bradley Stillman</option>
